Title,Date,URL,Compensation,Employment_type,Images,Description
Engineering Design Manager,2020-10-16 07:48,https://newyork.craigslist.org/mnh/egr/d/orlando-engineering-design-manager/7214870090.html,To be discussed with the Hiring Manager,full-time,,"
        ,
Planate Management Group (PMG) is a Service-Disabled Veteran-Owned Small Business (SDVOSB) headquartered in Alexandria, Virginia and Orlando, Florida USA with a technical support center in South East Asia and East Africa, that provides program management and facilities engineering services worldwide. PMG is a small business provider of planning, design, infrastructure management, technical consulting, engineering, and construction management services in support of the US Department of Defense (DOD) and its Service (Army, Air Force, Navy, Marine Corps) missions, along with other US federal agencies, all over the world.,
,
The Engineering Design Manager will be responsible for serving as the managerial and technical lead for the division’s engineering and architectural designs and service delivery. You will manage the planning, execution, and growth of the division business of infrastructure, facility, and environmental design for projects across the world where Planate operates. This includes the consistent and coordinated execution of engineering, architecture, and environmental project deliverables resulting in satisfied clients and the creation of an effective base to build the business. ,
,
Key responsibilities:                     ,
,
Provide overall leadership to the Architecture and Engineering functions in Planate worldwide with a goal of client satisfaction and technical capabilities,
Oversee the project detailed design structure before submitting to clients,
Work with the Project Managers or Engineers on identifying the project risk and planning mitigation actions,
Implement the best practices, code standards, and use of technology in the execution of designs/delivery,
Provide weekly or monthly report in the form of accurate and detailed reports,
Partner with Planning and Engineering Services to pursue significant opportunities together. Also, the team with BD to produce compelling proposals that win work,
Responsible for Division Profit and Loss (P&L) operations, charged with actively managing the operations of AED to achieve the division’s financial targets,
Ensure that the staff is competitive and properly utilized, undue risk is avoided, and backlog is built to sustain the operation,
Maintain awareness of industry trends (such as related-technology, green design), educates staff and modifies practices,
Utilize computer-assisted design software and equipment to support project designs and plans when necessary,
Partner with HR to recruit, evaluate and hire quality candidates,
Lead the staff with a focus on developing talent and providing innovative and effective technical solutions and assure the skills necessary for successful execution are available; ensures the overall development of our professional,
Develop the complete AED staff to improve skill levels and deliver services and stay abreast of evolving needs in the marketplace,
Assemble effective execution teams with other Planate elements and strong go-to-market partners outside Planate to present the most compelling solutions to our client’s needs,
Maintain professional licensing in Virginia and other states as required for you and your staff,
Assist in administrative matters with your division related to licensing, insurance, training, compensation etc.,
Provide support for Planate as may be required.,
,
Qualifications to be successful in the role:,
,
Required degree in any field of Engineering,
Licensed Professional Engineer (PE) with a full set of signed and sealed portfolios, required,
Minimum of fifteen years’ experience in architectural and engineering design with desired work experience in health care facility design and construction projects,
Highly skilled in developing and mentoring engineers,
Handled large government projects,
Ability to identify process and design improvements,
Strong leadership, alignment, and interpersonal skills, and ability to work well with a diverse and worldwide team of professionals,
Possesses expertise in determining short-term, mid-term, and long-term impacts of business new concepts or new systems as they relate to military requirements,
Must be eligible to apply for a secret clearance,
Must be a US citizen and hold valid, current drivers’ licenses,
Proficient in English both written and verbal,
Planate Management Group is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.,
,
Why Planate?,
,
Joining the Planate team opens you to an experience working for a Global company where you are among a team that is considered a premier trusted partner for planning, design, engineering, asset management, and professional service solutions anytime, anywhere.  We Take Care of Our Own; Personally and Professionally, Up and Down The Line.  ,
,
We’d love for you to be a part of our Global workforce, helping us serve as an effective and integrated partner to advance every client's mission!    "
Cad drafter,2020-10-15 11:16,https://newyork.craigslist.org/lgi/egr/d/levittown-cad-drafter/7214386433.html,Depending on experience.,part-time,,"
        ,
We are a small firm doing mainly residential projects. I am looking for someone with residential design/ construction experience, must be cad proficient. 3-5 years experience.    "
Architectural/lighting designer for pavilion,2020-10-20 00:01,https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-lighting/7217072388.html,stipend,contract,,"
        ,
An award-winning art and design studio which produces projects ranging small sculpture and video works to large-scale sound-reactive and interactive light installations, is looking for an architectural  and/or lighting designer to assist with a new light pavilion. Most of the design charrettes can be done from home but fabrication and installation visits will need to be done in-person. Please email your resume and portfolio in one PDF (no greater than 10 MB) with subject ""Architectural designer"" or ""Lighting designer"". Your portfolio shouldn't include more than 5 projects. Submissions without these requirements will not be considered. Only selected candidates will be contacted.    "
"Job Placement after training, certification and paid internship",2020-10-20 13:37,https://newyork.craigslist.org/mnh/egr/d/new-york-job-placement-after-training/7217336159.html,Paid internship for 175 hours; you will be paid $15 per hour after graduation prevailing wages jobs opportunity,full-time,"https://images.craigslist.org/00q0q_ab5k4fDM5mW_0bc0ew_600x450.jpg,https://images.craigslist.org/00C0C_gWwWoj90UL3_0jm0h6_600x450.jpg,https://images.craigslist.org/00E0E_9uc0hKbvdpR_0x20lT_600x450.jpg,https://images.craigslist.org/00505_guk8xd4A6p6_0wg0jV_600x450.jpg,https://images.craigslist.org/00g0g_dz0xeYm6nJd_0p90t2_600x450.jpg","
        ,
AHRC NYC is offering a FREE 16 week training program for Youth in NYC who would like to go into one of the best paid job - janitorial, custodial. ,
,
Careers in Environmental Services program is offering each student an opportunity to get a certificate from ISSA Cleaning Management Institute and become Certified Custodian Technicians in 16 weeks. ,
,
The program is funded by DYCD for youth aged 16-24.,
,
• Program services are provided remotely - technology provided when needed.,
• Participants will receive a weekly stipend during the remote classroom and hands-on training. This is a 16 week program with one year follow up services.,
• Upon completion, successful graduates will receive job placement services.,
• Graduates will receive internationally recognized certification from ISSA Cleaning Management Institute and become Certified Custodian Technicians- Basic Level (Advanced is available for students),
• The program is open for youth 16-24 years of age who are economically disadvantaged,,
are out of school and do not have a college degree. Individuals with disabilities are welcome,
• Learn various janitorial techniques such as high and low dusting, sweeping and mopping floors, washing walls, glass, mirror, chrome polishing, sanitization of bathrooms, buffing floors, dusting furniture and other fixtures, proper disposal of garbage, and handling various types of cleaning supplies. Special training on COVID-19 Disinfecting Services,
• Hands-on training in a variety of janitorial tasks at renowned NYC healthcare institutions,
• OSHA 10 General Industry Certification,
• Career counseling to help you sort out what you really want for the future,
• Paid internship for 175 hours for $15 per hour to learn janitorial work,
,
Call today to book your spot! Next Cohort Starts 11/09/2020    "
ater Treatment Specialist/ Chemist,2020-10-21 09:22,https://newyork.craigslist.org/mnh/egr/d/ater-treatment-specialist-chemist/7217743533.html,To be discussed with the Hiring Manager,full-time,,"
        ,
Planate Management Group (PMG) is a Service-Disabled Veteran-Owned Small Business (SDVOSB) headquartered in Alexandria, Virginia, and Orlando, Florida USA with a technical support center in South East Asia and East Africa, that provides program management and facilities engineering services worldwide. Planate is a small business provider of planning, design, infrastructure management, technical consulting, engineering, and construction management services in support of the US Department of Defense (DOD) and its Service (Army, Air Force, Navy, Marine Corps) missions, along with other US federal agencies, all over the world.,
,
The Water Treatment Specialist/ Chemist will be responsible for the complete operations and maintenance of the water production at three (3) complex reverse osmosis membrane filtration treatment plants and the distribution systems to ensure that the water is safe, aesthetically pleasing, and meets operational and mission needs and its requirements. This is to support the UEM Operations Supervisor and UEM Product Line Director who reports to the Public Works Director, the head of the Public Works Business Line (PWBL).,
,
Services will be performed at NAVFAC EURAFSWA, NAS Sigonella, Italy.,
,
Accommodation will be shouldered by the Company. ,
,
Key responsibilities:,
,
Coordinate all work with contractors, other Navy staff, and other PWD personnel,
Develop performance standards, typically under the cognizance of the UEM Branch Head/Director of Operations.,
Plan and develop water-related operations and maintenance projects including emergency, service and minor work,
Advise UEM Branch Head of required large capital improvements, specific work, and Major Maintenance projects for long-range planning goals and take or recommend appropriate action,
Provide weekly updates on the status of repair efforts for in-house and contractor actions,
Review and evaluate work methods, assignments, and staffing and act to reduce costs and increase productivity; must be knowledgeable in the use of MAXIMO work management application to monitor, measure and control productivity and costs,
Follow official policies and directives and comply with regulations for use of public funds and materials,
Coordinate, plan, schedule and execute duties to ensure delivery of quality and economical services,
Directly operate, maintain, repair, and manage the drinking water treatment plant (WTP) and distribution system (including cross-connection and backflow prevention equipment under the jurisdiction of the UEM business line) to ensure that water is safe, aesthetically pleasing, and meets operational and mission always needs and requirements (24hrs/day). Provide weekly updates on the water distribution status, including status on known leaks and repairs,
Manage and oversee drinking WTPs and distribution systems under the jurisdiction of the UEM, FMS (BOSC Contract) or AM (Lease) business lines. Provide biweekly updates on Sanitary Survey findings,
Maintain operator logs and site logbooks according to the Overseas Drinking Water Plant Operational Logs and Site Log Books Standard Operating Procedures (SOPs). Prepare daily situation reports for key plant parameters for NAS I and NAS II,
Perform other responsibilities associated with this position as may be appropriate.,
,
Qualifications To be successful in the role:,
,
Degree in Chemistry, Chemical Engineering or any related field of study,
With Specialized knowledge and experience in the following: water chemistry; potable water operations, maintenance, and monitoring; water production wells; complex water treatment/filtration plants; water pump stations; elevated and ground-level water storage systems; distribution systems including mains, fire hydrants, customer service connections, backflow prevention, meters, blow-offs, and air/vacuum release valves; and overall technical expertise to solve a broad range of water quality problems,
Knowledgeable in technical and procedural guidelines pertaining to water systems and current editions of the Italy Final Governing Standards (FGS), Navy Overseas Drinking Water (ODW) program, European/Italian Drinking Water Legislation, Navy Uniform Facilities Criteria guidance for potable water systems, and industry-wide standards including International Plumbing Code, International Mechanical Code, American Water Works Association Standards and Manuals of Practice,
Certified in Water Treatment and Distribution Operator in accordance with the Association of Boards of Certification – Water Treatment Certification Class III and Water Distribution Certification Class I or higher or a U.S. State Certification comparable to these levels of certification,
Able to communicate orally and in writing to make technical and managerial presentations,
Proficient in using Microsoft Office suites,
Must be a US citizen.,
Planate Management Group is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status, and will not be discriminated against on the basis of disability.,
,
Why Planate?,
,
Joining the Planate team opens you to an experience working for a Global company where you are among a team that is considered a premier trusted partner for planning, design, engineering, asset management, and professional service solutions anytime, anywhere.  We Take Care of Our Own; Personally, and Professionally, Up and Down The Line. ,
,
We’d love for you to be a part of our Global workforce, helping us serve as an effective and integrated partner to advance every client's mission!    "
Structural Engineer,2020-10-21 12:33,https://newyork.craigslist.org/lgi/egr/d/valley-stream-structural-engineer/7217870558.html,salary based on a candidate's experience,full-time,,"
        ,
Our Engineering firm is looking for a full-time structural design engineer, with EIT to join our office in Valley Stream, Long Island. ,
 ,
The ideal candidate must have 2+ years of experience in the Structural Engineering field, onsite experience, and AUTOCAD proficiency. Experience with engineering software such as RAM, ETABS, SAP, Revit and RISA are a major plus. ,
,
We are a small but growing fast paced engineering firm. The candidate will be working on structural engineering projects from start to finish. The candidate must have the ability to multitask, must have great communication and writing skills. He/she will be working closely with other Project Engineer and support staff to assure our project goals are met in a timely manner. The hourly rate will be determined according to experience. ,
,
Please forward us your resume along with a cover letter introducing yourself and your related experience to:  ,
,
paola@cmceny.com ,
 ,
We are conveniently located by the Valley Stream Long Island Rail Road station. We look forward to hearing from you.  Thank you and best regards.,
    "
Full time /Part time AutoCAD drafter,2020-09-22 14:46,https://newyork.craigslist.org/que/egr/d/flushing-full-time-part-time-autocad/7201010152.html,To be discussed in person at the interview,employee's choice,,"
        ,
We are an Engineering's office seeking to fill a Full time and a Part time AutoCAD drafter immediately.  On occasions you will be asked to visit job sites to take field measurements among other tasks such as contact clients. Most of our jobs are within the five boroughs of NYC. ,
,
Qualifications:,
-  Must have experience in drafting (architectural and/or engineering),
- Knowledge in NYC Building Code is a big plus,
- Professional in Office and Adobe PDF,
- Bilingual in Chinese and English,
- College graduate in the field,
,
* Recent graduates are welcome to apply,
* Willing to train    "
Construction Supervisor/ Superintendent Assistant SST,2020-09-22 15:36,https://newyork.craigslist.org/brx/egr/d/new-york-construction-supervisor/7201047274.html,Based on experience,full-time,,"
        ,
Looking for a Construction Supervisor with experience in construction,
,
Requirements:,
,
 * 40 Hours OSHA,
 * 5 years construction experience ,
 * SST card ,
 * Ability to read Construction Drawings,
 * English - Speak and read,
,
please send your resume and we will get back ASAP    "
Field Inspectors/Engineers,2020-09-21 11:52,https://newyork.craigslist.org/lgi/egr/d/hicksville-field-inspectors-engineers/7200228634.html,TBD,full-time,,"
        ,
Metric Consulting and Inspection is a fully licensed concrete testing lab registered with the New York City Department of Buildings, Licensed Class 1 Special Inspection Agency. Metric also participates in the AMRL and CCRL proficiency testing and on site assessment of our facilities, as well as currently being accredited by A2LA for the Quality System. Metric has been assisting hundreds of multifaceted projects since 2003, aiding in the construction of hospitals, universities, community centers, parks and homes throughout the tristate area.,
We are seeking a highly motivated, responsible individual who is looking to either fulfill a full time or part time position in our company. Excellent benefits, salary, vacation, and holidays.,
,
We are looking to hire certified field inspectors and/or engineers with relevant experience.,
,
Education and experience:,
-Bachelor's degree in Engineering is preferred,
-Certifications in the fields of inspection as per NYC DOB code,
,
Knowledge, Skills and Abilities:,
-Thorough knowledge of construction practices, techniques, materials and equipment relating to construction,
-Thorough knowledge of engineering plans, specifications and drawings,
-Strong computer skills and working knowledge of Microsoft Office,
-Knowledge of quality systems,
,
Special Requirements:,
Possession of a valid driver’s license and a car,
    "
Landscape Architect / Designer and Sales Professional,2020-09-22 16:35,https://newyork.craigslist.org/fct/egr/d/new-canaan-landscape-architect-designer/7201089104.html,Based on experience and skill. Excellent benefit program,full-time,,"
        ,
Landscape Architect / Designer and Sales Professional to join our team. We design and build creative, integrated landscape plans for high-end residential clients.,
,
Candidates should have a proven record in residential landscape design and sales with the ability to present and communicate to a sophisticated client base. Autocad or equivalent software abilities a plus. Designing and selling landscapes with style for the high-end residential market key!,
Applicants with a landscape design, landscape architecture background or exterior design are appropriate for this position.,
,
You'll find us in New Canaan in an attractive work environment with industry leading salary and benefits--,
including: 401K Plan -Profit Sharing - Pension plus.,
,
Candidates should forward resumes and letter of interest.,
The Elise Design Group and Elise Landscapes & Nursery is an established award winning Landscape Design and Build firm serving the greater Fairfield and Westchester County areas. Our company provides high quality, innovative landscape design, construction and maintenance services as well as retailing landscape plantings, unique garden elements and furnishings. Established 1983.,
,
Position Requirements:,
,
Minimum of 5 years, high-end residential landscape design and/or sales experience,
Degree in Landscape Design/Architecture/interior design preferred,
The ability to present and communicate design concepts clearly to a sophisticated client base.,
Proficiency with landscape design software and related office software,
General knowledge of permitting and zoning processes,
Desire to grow professionally,
,
Please submit resume by email. Call us at 203-966-3200.,
    "
Architect Project manager / draftperson,2020-09-22 20:20,https://newyork.craigslist.org/brx/egr/d/bronx-architect-project-manager/7201217328.html,"Annual salary (depends on experiance), vacation and personal days, health insurance allowance after 90 days.",full-time,,"
        ,
Looking for full time architectural project manager / CADD with knowledge of NYC codes and zoning. Good backlog of projects. Min. 5 years experience with Autocad, Word, NYC building codes / applications and Zoning laws. Our projects in NYC filed with LPC and DCP/SNAD. Full time position during Covid19 can work partly remote. Must be self starter. Registration not required. Drivers license and own car as field measuring required.  Non smoking office. Email resume to be considered for interview. Local residency a plus.    "
DOB LICENSED SUPERINTENDENT 100k-120k year/DOB LICENSE REQUIRED,2020-09-22 20:39,https://newyork.craigslist.org/brk/egr/d/brooklyn-dob-licensed-superintendent/7201225765.html,"$100,000 - $120,000 a year",contract,,"
        ,
We are looking for a DOB Licensed Construction Superintendent.,
,
Job Description:,
•	Visit various sites to ensure safety per DOB and OSHA standards.,
•	Maintain daily paperwork such as logbooks, field safety checklists.,
•	Review and analyze detailed construction drawings.,
•	Communicate with competent persons on sites regarding safety requirements.,
•	When necessary communicate with DOB inspectors regarding safety issues.,
,
Qualifications/Requirements:,
•	Minimum 5 years’ experience in general construction ,
•	DOB Construction Superintendent license,
•	Proficiency in reading plans, blueprints, specifications,
•	Knowledge of DOB building codes and NYC Construction Codes,
•	Ability to professionally deal with NYC DOB Inspectors,
•	Strong communication skills and computer literacy,
•	Excellent problem-solving skills and willingness to learn,
•	Sound judgment and ethical conduct,
,
Preferred Skills:,
5 to 7 years related experience or an equivalent combination of education, training and/or experience ,
Architectural or engineering background is a plus,
,
Experience:,
Construction: 5 years (Required),
Blueprint Reading: 3 years (Required),
Site Superintendent or Construction PM: 5 years (Preferred),
License:,
Driver's License (Required),
    "
Hotel- Engineer (Hotel Maintenance),2020-09-21 13:08,https://newyork.craigslist.org/brk/egr/d/brooklyn-hotel-engineer-hotel/7200290586.html,$19.75/hour,full-time,"https://images.craigslist.org/00B0B_fTjUAVJ6pmq_0jm0t2_600x450.jpg,https://images.craigslist.org/00d0d_4haGwL0EQij_0CI0px_600x450.jpg,https://images.craigslist.org/00a0a_cZ85OsX11kj_0aa07g_600x450.jpg","
        ,
The William Vale is looking for a full-time Engineer to join our Maintenance team.,
We offer competitive pay and comprehensive medical, dental, and vision insurance. 401k benefits, on the job training, uniforms & cleaning, referral bonus program, incentives & recognition rewards.,
,
RESPONSIBILITIES:,
•    Troubleshoot and repair malfunctions in mechanical or electrical systems (e.g., HVAC, plumbing) and other equipment throughout the hotel.,
•    Perform preventative maintenance assignments on a scheduled basis.,
•    Maintain the building exterior and ""curb appeal"" (e.g., snow removal, lawn care, painting, and gardening).,
•    Respond in a courteous manner to all guest questions, complaints, and or requests to ensure strong guest satisfaction.,
,
,
SKILLS/GENERAL REQUIREMENTS:,
•    Be skilled in several areas such as HVAC, electrical, carpentry, dry wall, painting, plumbing, roofing, and landscaping.,
•    Must be able to troubleshoot and repair routine mechanical and electrical malfunctions in hotel systems and equipment.,
•    Approach all encounters with guests in an attentive, friendly, courteous and service-oriented manner.,
,
QUALIFICATIONS STANDARDS:,
•    1+ years of experience as an Engineer, Hotel experience preferred,
•    General knowledge of building maintenance and systems,
•    Must be flexible to work all shifts including some overnights, weekends and holidays,
•    Certifications listed below are a plus:,
   o     F58,
   o     Boiler/Standpipe,
   o     Pool Operator,
   o     HVAC,
•    Reliable and have a sense of urgency    "
